rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
672,WINA,49.0,4,94.52614379084967,1,17.156862745098035,1,28.921568627450977,0,56.372549019607845,1,47.79411764705882,1,28816970,1.2247,0.006798,0.0329,0.3507,WIDE_SPREAD
673,KOP,49.0,4,51.06209150326797,1,53.02287581699346,1,40.52287581699346,0,48.32516339869281,1,52.0016339869281,1,4254122,0.6763,0.005557,0.0288,0.329,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
674,ISSC,48.9,4,55.88235294117647,1,23.039215686274506,1,69.36274509803921,1,84.39542483660131,1,11.846405228758172,0,5057840,1.0482,0.003177,0.0527,0.6678,NO_SIGNAL|FAT_TAIL
675,IRMD,48.9,4,53.18627450980392,1,54.8202614379085,1,35.5392156862745,0,45.54738562091503,1,55.392156862745104,1,4518829,0.6605,0.006026,0.0277,0.3026,WIDE_SPREAD
676,IIIN,48.9,4,49.34640522875817,1,52.532679738562095,1,39.37908496732027,0,41.25816993464052,1,62.00980392156863,1,3909660,0.679,0.005622,0.026,0.2756,WIDE_SPREAD|FAT_TAIL
677,VREX,48.9,4,45.01633986928105,1,72.05882352941177,1,25.571895424836597,0,66.29901960784314,1,35.5392156862745,1,3334967,0.5716,0.00727,0.038,0.426,WIDE_SPREAD|FAT_TAIL
678,ACIC,48.9,4,29.166666666666668,1,77.859477124183,1,39.21568627450981,0,38.6437908496732,1,59.80392156862745,1,1854893,0.5409,0.005647,0.025,0.2834,WIDE_SPREAD
679,BUI,48.9,4,24.101307189542485,1,37.826797385620914,1,83.00653594771241,1,14.133986928104575,0,85.33496732026144,1,1499707,0.7984,0.001957,0.012,0.1285,FAT_TAIL
680,CASS,48.8,4,38.6437908496732,1,63.76633986928104,1,35.130718954248366,0,32.02614379084967,1,74.34640522875817,1,2645836,0.6141,0.006061,0.0228,0.2243,WIDE_SPREAD
681,VSTS,48.7,4,79.00326797385621,1,38.970588235294116,1,24.591503267973856,0,78.02287581699346,1,22.957516339869276,1,11644200,0.7904,0.007424,0.0452,0.5227,WIDE_SPREAD|FAT_TAIL
682,IMSR,48.7,4,73.44771241830065,1,10.29411764705882,1,66.17647058823529,1,86.11111111111111,1,7.434640522875813,0,9096005,1.6672,0.003394,0.0559,0.7816,NO_SIGNAL|FAT_TAIL
683,SCVL,48.7,4,69.52614379084967,1,47.67156862745098,1,27.85947712418301,0,68.42320261437908,1,29.820261437908503,1,7870796,0.7143,0.006929,0.0391,0.4656,WIDE_SPREAD
684,COUR,48.6,4,91.33986928104575,1,26.388888888888886,1,37.58169934640523,0,58.12908496732027,1,29.33006535947712,1,21679406,0.981,0.005817,0.0339,0.4701,WIDE_SPREAD|FAT_TAIL
685,DMLP,48.6,4,41.66666666666667,1,62.5,1,34.39542483660131,0,30.310457516339866,1,74.26470588235294,1,2867578,0.6224,0.00612,0.0224,0.2253,WIDE_SPREAD
686,WSR,48.6,4,41.01307189542484,1,8.74183006535948,1,94.28104575163398,1,19.526143790849673,0,79.24836601307189,1,2789064,1.8828,0.000989,0.0174,0.1953,OK
687,FSBC,48.6,4,26.633986928104576,1,65.76797385620915,1,38.888888888888886,0,46.200980392156865,1,65.60457516339869,1,1628204,0.6045,0.005668,0.0279,0.2646,WIDE_SPREAD
688,FNLC,48.4,4,4.820261437908497,0,72.63071895424837,1,66.09477124183006,1,31.5359477124183,1,66.78921568627452,1,422441,0.5685,0.003402,0.0227,0.2588,LOW_LIQ
689,CZFS,48.3,4,5.555555555555555,0,55.6781045751634,1,84.88562091503267,1,50.69444444444444,1,44.52614379084967,1,476934,0.6569,0.001813,0.0298,0.3704,LOW_LIQ
690,NRC,48.1,4,21.486928104575163,1,87.74509803921569,1,24.10130718954249,0,76.75653594771242,1,30.228758169934643,1,1323255,0.4909,0.007475,0.0442,0.4636,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
